State Postal,,County Number,FIPS Code,County Name,,Office Description,Precincts Reporting,Total Precincts,TOTAL VOTES CAST,Last name,Votes,Last name,Votes,Last name,Votes,Last name,Votes,Last name,Votes,Last name,Votes,Last name,Votes,Last name,Votes,Last name,Votes,Last name,Votes,Last name,Votes,Last name,Votes,Last name,Votes,Last name,Votes,Last name,Votes,Last name,Votes,TOTAL VOTES CAST
AK,AK Alaska,1,0,Alaska,AK Alaska,President,437,438,220596,Obama,91696,Romney,121234,Johnson,5539,Stein,2127,,,,,,,,,,,,,,,,,,,,,,,,,220596
AK,AK Alaska,2001,2000,Alaska,AK Alaska,President,437,438,220596,Obama,91696,Romney,121234,Johnson,5539,Stein,2127,,,,,,,,,,,,,,,,,,,,,,,,,220596
AL,AL Alabama,1,0,Alabama,AL Alabama,President,2711,2711,2064699,Obama,793620,Romney,1252453,Goode,2961,Johnson,12283,Stein,3382,,,,,,,,,,,,,,,,,,,,,,,2064699
AL,AL Autauga,1001,1001,Autauga,AL Autauga,President,28,28,23909,Obama,6354,Romney,17366,Goode,31,Johnson,136,Stein,22,,,,,,,,,,,,,,,,,,,,,,,23909
AL,AL Baldwin,1002,1003,Baldwin,AL Baldwin,President,55,55,84988,Obama,18329,Romney,65772,Goode,122,Johnson,597,Stein,168,,,,,,,,,,,,,,,,,,,,,,,84988
AL,AL Barbour,1003,1005,Barbour,AL Barbour,President,19,19,11459,Obama,5873,Romney,5539,Goode,9,Johnson,32,Stein,6,,,,,,,,,,,,,,,,,,,,,,,11459
AL,AL Bibb,1004,1007,Bibb,AL Bibb,President,10,10,8391,Obama,2200,Romney,6131,Goode,13,Johnson,38,Stein,9,,,,,,,,,,,,,,,,,,,,,,,8391
AL,AL Blount,1005,1009,Blount,AL Blount,President,28,28,23980,Obama,2961,Romney,20741,Goode,59,Johnson,169,Stein,50,,,,,,,,,,,,,,,,,,,,,,,23980
AL,AL Bullock,1006,1011,Bullock,AL Bullock,President,18,18,5318,Obama,4058,Romney,1250,Goode,4,Johnson,3,Stein,3,,,,,,,,,,,,,,,,,,,,,,,5318
AL,AL Butler,1007,1013,Butler,AL Butler,President,28,28,9483,Obama,4367,Romney,5081,Goode,9,Johnson,20,Stein,6,,,,,,,,,,,,,,,,,,,,,,,9483
